epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1958.9,1.22493,2.9297,1.37598,0.67349,0.54132,0.5922,0.37471,1.25897,2.85706,1.48537,0.000474207,0.000474207,0.000474207
2,3868.75,1.32729,2.4244,1.45824,0.4666,0.48626,0.45419,0.26152,1.52999,3.46929,1.75714,0.000931719,0.000931719,0.000931719
3,5802.27,1.38003,2.14172,1.48524,0.48196,0.48967,0.45738,0.25862,1.57248,2.54476,1.77998,0.00137037,0.00137037,0.00137037
4,7706.56,1.41387,2.02355,1.51214,0.64308,0.51839,0.60187,0.35351,1.49277,2.35566,1.70169,0.00134412,0.00134412,0.00134412
5,9617.23,1.3532,1.8132,1.5009,0.59283,0.61293,0.61187,0.38882,1.37163,1.93931,1.56154,0.00131582,0.00131582,0.00131582
6,11689.4,1.2884,1.6687,1.41496,0.68966,0.63853,0.69076,0.39582,1.43327,1.78676,1.61089,0.00128753,0.00128753,0.00128753
7,13674.4,1.26482,1.59219,1.4113,0.67819,0.65827,0.70138,0.46234,1.26339,1.75793,1.52772,0.00125923,0.00125923,0.00125923
8,15666.7,1.1986,1.49027,1.37205,0.82085,0.65725,0.77859,0.52453,1.15209,1.50088,1.43597,0.00123094,0.00123094,0.00123094
9,17471.6,1.15872,1.40374,1.33895,0.86483,0.72397,0.82789,0.5719,1.10802,1.21103,1.3704,0.00120265,0.00120265,0.00120265
10,19547.2,1.1387,1.37664,1.32542,0.7932,0.71285,0.79225,0.55427,1.11137,1.31043,1.39433,0.00117435,0.00117435,0.00117435
11,21494.9,1.11528,1.30725,1.30394,0.84956,0.79122,0.85565,0.60345,1.08299,1.11689,1.32822,0.00114606,0.00114606,0.00114606
12,23533.8,1.10859,1.27718,1.3114,0.88106,0.77229,0.87826,0.62078,1.03143,1.12665,1.32151,0.00111776,0.00111776,0.00111776
13,25475.3,1.07863,1.19099,1.27458,0.853,0.81301,0.87619,0.62116,1.03939,1.06902,1.35228,0.00108947,0.00108947,0.00108947
14,27402.6,1.04274,1.1595,1.25511,0.85886,0.81197,0.89479,0.64387,0.99756,0.9771,1.284,0.00106118,0.00106118,0.00106118
15,29216.1,1.01282,1.10607,1.23407,0.9037,0.81255,0.89363,0.65645,1.00175,0.94079,1.27064,0.00103288,0.00103288,0.00103288
16,30974.6,1.01489,1.11031,1.23025,0.92168,0.83301,0.89655,0.6618,0.97188,0.93691,1.25503,0.00100459,0.00100459,0.00100459
17,32723.7,0.98734,1.06402,1.22859,0.8742,0.82318,0.89909,0.66399,0.96357,0.98966,1.26635,0.000976293,0.000976293,0.000976293
18,34448.1,1.00462,1.05608,1.23294,0.92064,0.83877,0.92347,0.6882,0.93971,0.84178,1.24628,0.000947999,0.000947999,0.000947999
19,36249,0.9604,1.01782,1.21109,0.86821,0.84982,0.90188,0.68462,0.91123,0.84433,1.2044,0.000919704,0.000919704,0.000919704
20,37982.3,0.94635,0.95683,1.2012,0.88092,0.88078,0.93065,0.69945,0.89873,0.79149,1.20248,0.00089141,0.00089141,0.00089141
21,39722.9,0.9045,0.93114,1.16214,0.91918,0.8453,0.92383,0.71438,0.86707,0.80384,1.19698,0.000863116,0.000863116,0.000863116
22,41444.5,0.90483,0.94404,1.16881,0.91342,0.86009,0.93255,0.72438,0.84063,0.7626,1.1662,0.000834822,0.000834822,0.000834822
23,43169.6,0.92001,0.90584,1.18061,0.88752,0.88437,0.92656,0.71213,0.86557,0.78165,1.19425,0.000806528,0.000806528,0.000806528
24,44890.8,0.88785,0.88297,1.15442,0.89155,0.87864,0.94177,0.73097,0.81439,0.73147,1.14938,0.000778233,0.000778233,0.000778233
25,46610.9,0.87813,0.88456,1.1578,0.93531,0.87299,0.93186,0.7348,0.84049,0.73811,1.17814,0.000749939,0.000749939,0.000749939
26,48350.1,0.87319,0.85216,1.15733,0.91423,0.88868,0.9393,0.7418,0.80601,0.71018,1.14186,0.000721645,0.000721645,0.000721645
27,50097.8,0.87815,0.86805,1.16045,0.92002,0.88025,0.94192,0.72642,0.82079,0.72591,1.15408,0.000693351,0.000693351,0.000693351
28,51848.6,0.86119,0.83349,1.15004,0.90891,0.91745,0.94631,0.74683,0.80358,0.68149,1.15212,0.000665057,0.000665057,0.000665057
29,53571.4,0.82849,0.81136,1.1277,0.92888,0.89879,0.94011,0.73254,0.82331,0.68152,1.17314,0.000636762,0.000636762,0.000636762
30,55293.4,0.83181,0.81042,1.13395,0.90831,0.90951,0.95,0.74875,0.79916,0.66509,1.1381,0.000608468,0.000608468,0.000608468
31,57026.2,0.83691,0.79519,1.13143,0.91591,0.90871,0.95411,0.76672,0.77795,0.62329,1.117,0.000580174,0.000580174,0.000580174
32,58755.4,0.79594,0.78571,1.1112,0.92453,0.89594,0.9501,0.75822,0.77405,0.65872,1.12533,0.00055188,0.00055188,0.00055188
33,60497.9,0.79343,0.7792,1.11578,0.93368,0.91774,0.95791,0.76219,0.76107,0.63057,1.11402,0.000523586,0.000523586,0.000523586
34,62253.8,0.78118,0.7333,1.10367,0.94726,0.89918,0.95594,0.76476,0.78611,0.64095,1.13046,0.000495291,0.000495291,0.000495291
35,64011.7,0.77817,0.73096,1.09625,0.96118,0.89109,0.95751,0.7748,0.75583,0.60883,1.10237,0.000466997,0.000466997,0.000466997
36,65775.9,0.78681,0.75054,1.10621,0.9374,0.90837,0.95443,0.76561,0.77017,0.60584,1.12049,0.000438703,0.000438703,0.000438703
37,67675.5,0.76004,0.7001,1.09005,0.93697,0.91828,0.95336,0.76996,0.76084,0.60182,1.126,0.000410409,0.000410409,0.000410409
38,69664.9,0.74973,0.67262,1.08826,0.94276,0.91264,0.96433,0.78525,0.74552,0.57038,1.10491,0.000382115,0.000382115,0.000382115
39,71583.6,0.73913,0.65445,1.07924,0.93517,0.93618,0.96229,0.77401,0.73666,0.57061,1.10812,0.00035382,0.00035382,0.00035382
40,73559.7,0.75025,0.67058,1.08653,0.95478,0.9397,0.96921,0.80269,0.72264,0.53872,1.09688,0.000325526,0.000325526,0.000325526
41,75480.6,0.59296,0.47173,0.96961,0.93964,0.93934,0.96703,0.79637,0.70494,0.5508,1.0751,0.000297232,0.000297232,0.000297232
42,77293.9,0.57261,0.45075,0.95551,0.95354,0.92918,0.96757,0.80943,0.68215,0.53832,1.05959,0.000268938,0.000268938,0.000268938
43,79261.3,0.56313,0.43206,0.95668,0.95999,0.94956,0.97298,0.81217,0.67538,0.51941,1.06174,0.000240644,0.000240644,0.000240644
44,81203,0.55487,0.41589,0.94524,0.95386,0.94014,0.96608,0.81398,0.67039,0.5164,1.05922,0.000212349,0.000212349,0.000212349
45,83204.9,0.54212,0.40731,0.94381,0.95024,0.94507,0.9672,0.81974,0.64424,0.49337,1.04499,0.000184055,0.000184055,0.000184055
46,85072.8,0.52661,0.39697,0.93339,0.96418,0.93823,0.97046,0.82414,0.64516,0.49664,1.04147,0.000155761,0.000155761,0.000155761
47,87020.4,0.51768,0.38848,0.92648,0.97276,0.92861,0.97132,0.82925,0.64134,0.4912,1.03713,0.000127467,0.000127467,0.000127467
48,88868.4,0.51534,0.38284,0.92333,0.95646,0.95039,0.97202,0.83106,0.6363,0.48831,1.03281,9.91726e-05,9.91726e-05,9.91726e-05
49,90699.4,0.49902,0.37683,0.91428,0.96512,0.94407,0.97483,0.82657,0.64812,0.47966,1.04243,7.08784e-05,7.08784e-05,7.08784e-05
50,92668.5,0.49831,0.36526,0.92137,0.96523,0.94216,0.97531,0.83599,0.62542,0.47564,1.03129,4.25842e-05,4.25842e-05,4.25842e-05
